interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;300.00;edge_data_300sec_freq;0;5.29;0;23;85562492#0;0;0;1.76;22;0.88;3.58;71.14;13.90;1.00;0.00;3.22;0.00
0.00;300.00;edge_data_300sec_freq;0;11.96;0;51;85562498#1;0;0;3.99;46;1.99;11.52;536.28;13.41;1.00;0.00;11.14;0.00
0.00;300.00;edge_data_300sec_freq;0;10.61;0;46;85562505#1;0;0;3.54;40;1.77;11.53;475.89;13.41;1.00;0.02;11.15;0.00
0.00;300.00;edge_data_300sec_freq;0;19.10;0;81;85562514#1;0;0;6.37;74;3.18;11.53;857.44;13.41;1.00;0.00;11.16;0.00
0.00;300.00;edge_data_300sec_freq;0;17.63;0;74;85562528#1;0;0;5.88;68;2.94;11.55;792.72;13.41;1.00;0.00;11.17;0.00
0.00;300.00;edge_data_300sec_freq;0;23.94;0;102;85562534#0;0;0;7.98;92;3.99;11.73;1093.85;13.41;1.00;0.08;11.36;0.00
0.00;300.00;edge_data_300sec_freq;0;7.21;0;29;85562562#1;0;0;1.80;29;0.90;4.20;111.13;13.41;1.00;0.00;3.83;0.00
0.00;300.00;edge_data_300sec_freq;0;9.39;0;40;85562564#1;0;0;3.13;36;1.56;11.65;426.18;13.41;1.00;0.00;11.28;0.00
0.00;300.00;edge_data_300sec_freq;0;16.18;0;68;85562580#1;0;0;5.39;62;2.70;11.52;725.74;13.41;1.00;0.00;11.15;0.00
0.00;300.00;edge_data_300sec_freq;0;14.74;0;62;85562588#1;0;0;4.91;56;2.46;11.51;660.16;13.41;1.00;0.00;11.13;0.00
0.00;300.00;edge_data_300sec_freq;0;21.39;0;92;85562592#1;0;0;7.13;81;3.56;11.53;960.02;13.41;1.00;0.06;11.16;0.00
